Passenger Class,Sex,Age,No of Siblings or Spouses on Board,No of Parents or Children on Board,Passenger Fare,Port of Embarkation
First,Female,16,0,0,86.5,Southampton
First,Male,45,0,0,29.7,Cherbourg
First,Male,19,1,0,53.1,Southampton
First,Female,18,1,0,53.1,Southampton
First,Female,24,0,0,49.5042,Cherbourg
First,Male,46,0,0,75.2417,Cherbourg
First,Male,54,0,0,51.8625,Southampton
First,Male,36,0,0,26.2875,Southampton
First,Male,28,1,0,82.1708,Cherbourg
First,Female,38,1,0,82.1708,Cherbourg
First,Male,65,0,0,26.55,Southampton
First,Male,44,2,0,90,Queenstown
First,Female,33,1,0,90,Queenstown
First,Female,37,1,0,90,Queenstown
First,Male,30,1,0,57.75,Cherbourg
First,Male,55,0,0,30.5,Southampton
First,Male,47,0,0,42.4,Southampton
First,Male,37,0,1,29.7,Cherbourg
First,Female,31,1,0,113.275,Cherbourg
First,Female,23,1,0,113.275,Cherbourg
First,Male,58,0,2,113.275,Cherbourg
First,Female,19,0,2,26.2833,Southampton
First,Male,64,0,0,26,Southampton
First,Female,39,0,0,108.9,Cherbourg
First,Male,41,0,0,25.7417,Cherbourg
First,Female,22,0,1,61.9792,Cherbourg
First,Male,65,0,1,61.9792,Cherbourg
First,Male,28.5,0,0,27.7208,Cherbourg
First,Male,41,0,0,0,Southampton
First,Male,45.5,0,0,28.5,Southampton
First,Male,23,0,0,93.5,Southampton
First,Male,29,1,0,66.6,Southampton
First,Female,22,1,0,66.6,Southampton
First,Male,18,1,0,108.9,Cherbourg
First,Female,17,1,0,108.9,Cherbourg
First,Female,30,0,0,93.5,Southampton
First,Male,52,0,0,30.5,Southampton
First,Male,47,0,0,52,Southampton
First,Female,56,0,1,83.1583,Cherbourg
First,Male,38,0,0,0,Southampton
First,Male,39,0,0,39.6,Southampton
First,Male,22,0,0,135.6333,Cherbourg
First,Male,39,0,0,227.525,Cherbourg
First,Female,43,0,1,211.3375,Southampton
First,Male,31,0,0,50.4958,Southampton
First,Male,45,0,0,26.55,Southampton
First,Male,38,0,0,50,Southampton
First,Female,33,0,0,27.7208,Cherbourg
First,Male,46,0,0,79.2,Cherbourg
First,Male,36,0,0,40.125,Cherbourg
First,Female,33,0,0,86.5,Southampton
First,Male,55,1,0,59.4,Cherbourg
First,Female,54,1,0,59.4,Cherbourg
First,Male,33,0,0,26.55,Southampton
First,Male,13,2,2,262.375,Cherbourg
First,Female,18,2,2,262.375,Cherbourg
First,Female,21,2,2,262.375,Cherbourg
First,Male,61,1,3,262.375,Cherbourg
First,Female,48,1,3,262.375,Cherbourg
First,Male,44,0,0,30.5,Southampton
First,Female,24,0,0,69.3,Cherbourg
First,Male,40,0,0,26,Southampton
First,Female,35,1,0,57.75,Cherbourg
First,Female,30,0,0,31,Cherbourg
First,Male,34,0,0,26.55,Southampton
First,Female,40,0,0,153.4625,Southampton
First,Male,35,0,0,26.2875,Southampton
First,Male,50,1,0,55.9,Southampton
First,Female,39,1,0,55.9,Southampton
First,Male,56,0,0,35.5,Cherbourg
First,Male,28,0,0,35.5,Southampton
First,Male,56,0,0,26.55,Southampton
First,Male,56,0,0,30.6958,Cherbourg
First,Male,24,1,0,60,Southampton
First,Male,40,0,0,26,Southampton
First,Female,18,1,0,60,Southampton
First,Male,24,1,0,82.2667,Southampton
First,Female,23,1,0,82.2667,Southampton
First,Male,6,0,2,134.5,Cherbourg
First,Male,45,1,1,134.5,Cherbourg
First,Female,40,1,1,134.5,Cherbourg
First,Male,57,1,0,146.5208,Cherbourg
First,Female,40,1,0,146.5208,Cherbourg
First,Male,32,0,0,30.5,Cherbourg
First,Male,62,0,0,26.55,Southampton
First,Male,54,1,0,55.4417,Cherbourg
First,Female,43,1,0,55.4417,Cherbourg
First,Female,52,1,0,78.2667,Cherbourg
First,Male,39,0,0,27.7208,Cherbourg
First,Female,62,0,0,80,Cherbourg
First,Male,67,1,0,221.7792,Southampton
First,Female,63,1,0,221.7792,Southampton
First,Male,61,0,0,32.3208,Southampton
First,Female,48,0,0,25.9292,Southampton
First,Female,18,0,2,79.65,Southampton
First,Male,52,1,1,79.65,Southampton
First,Female,39,1,1,79.65,Southampton
First,Male,48,1,0,52,Southampton
First,Female,40,1,0,52,Southampton
First,Male,49,1,1,110.8833,Cherbourg
First,Male,17,0,2,110.8833,Cherbourg
First,Female,39,1,1,110.8833,Cherbourg
First,Female,39,0,0,79.2,Cherbourg
First,Male,31,0,0,28.5375,Cherbourg
First,Male,40,0,0,27.7208,Cherbourg
First,Male,61,0,0,33.5,Southampton
First,Male,47,0,0,34.0208,Southampton
First,Female,35,0,0,512.3292,Cherbourg
First,Male,64,1,0,75.25,Cherbourg
First,Female,60,1,0,75.25,Cherbourg
First,Male,60,0,0,26.55,Southampton
First,Male,54,0,1,77.2875,Southampton
First,Male,21,0,1,77.2875,Southampton
First,Female,55,0,0,135.6333,Cherbourg
First,Female,31,0,2,164.8667,Southampton
First,Male,57,1,1,164.8667,Southampton
First,Female,45,1,1,164.8667,Southampton
First,Male,50,1,1,211.5,Cherbourg
First,Male,27,0,2,211.5,Cherbourg
First,Female,50,1,1,211.5,Cherbourg
First,Female,21,0,0,26.55,Southampton
First,Male,51,0,1,61.3792,Cherbourg
First,Male,21,0,1,61.3792,Cherbourg
First,Male,40,0,0,35,Southampton
First,Female,31,0,0,134.5,Cherbourg
First,Male,40,0,0,35.5,Southampton
First,Male,62,0,0,26.55,Southampton
First,Female,36,0,0,135.6333,Cherbourg
Second,Male,30,1,0,24,Cherbourg
Second,Female,28,1,0,24,Cherbourg
Second,Male,30,0,0,13,Southampton
Second,Male,18,0,0,11.5,Southampton
Second,Male,25,0,0,10.5,Southampton
Second,Male,34,1,0,26,Southampton
Second,Female,36,1,0,26,Southampton
Second,Male,57,0,0,13,Southampton
Second,Male,18,0,0,11.5,Southampton
Second,Male,23,0,0,10.5,Southampton
Second,Female,36,0,0,13,Southampton
Second,Male,28,0,0,10.5,Southampton
Second,Male,51,0,0,12.525,Southampton
Second,Male,32,1,0,26,Southampton
Second,Female,19,1,0,26,Southampton
Second,Male,28,0,0,26,Southampton
Second,Male,1,2,1,39,Southampton
Second,Female,4,2,1,39,Southampton
Second,Female,12,2,1,39,Southampton
Second,Female,36,0,3,39,Southampton
Second,Male,34,0,0,13,Southampton
Second,Female,19,0,0,13,Southampton
Second,Male,23,0,0,13,Southampton
Second,Male,26,0,0,13,Southampton
Second,Male,42,0,0,13,Southampton
Second,Male,27,0,0,13,Southampton
Second,Female,24,0,0,13,Southampton
Second,Female,15,0,2,39,Southampton
Second,Male,60,1,1,39,Southampton
Second,Female,40,1,1,39,Southampton
Second,Female,20,1,0,26,Southampton
Second,Male,25,1,0,26,Southampton
Second,Female,36,0,0,13,Southampton
Second,Male,25,0,0,13,Southampton
Second,Male,42,0,0,13,Southampton
Second,Female,42,0,0,13,Southampton
Second,Male,0.8333,0,2,29,Southampton
Second,Male,26,1,1,29,Southampton
Second,Female,22,1,1,29,Southampton
Second,Female,35,0,0,21,Southampton
Second,Male,39,0,0,0,Southampton
Second,Male,19,0,0,13,Southampton
Second,Female,44,1,0,26,Southampton
Second,Male,54,1,0,26,Southampton
Second,Male,52,0,0,13.5,Southampton
Second,Male,37,1,0,26,Southampton
Second,Female,29,1,0,26,Southampton
Second,Female,25,1,1,30,Southampton
Second,Female,45,0,2,30,Southampton
Second,Male,29,1,0,26,Southampton
Second,Female,28,1,0,26,Southampton
Second,Male,29,0,0,10.5,Southampton
Second,Male,28,0,0,13,Southampton
Second,Male,24,0,0,10.5,Southampton
Second,Female,8,0,2,26.25,Southampton
Second,Male,31,1,1,26.25,Southampton
Second,Female,31,1,1,26.25,Southampton
Second,Female,22,0,0,10.5,Southampton
Second,Female,30,0,0,13,Southampton
Second,Female,31,0,0,21,Southampton
Second,Male,21,0,0,11.5,Southampton
Second,Male,38,0,0,0,Southampton
Second,Male,8,1,1,36.75,Southampton
Second,Male,18,0,0,73.5,Southampton
Second,Female,48,0,2,36.75,Southampton
Second,Female,28,0,0,13,Southampton
Second,Male,32,0,0,13,Southampton
Second,Male,17,0,0,73.5,Southampton
Second,Male,29,1,0,27.7208,Cherbourg
Second,Female,24,1,0,27.7208,Cherbourg
Second,Male,25,0,0,31.5,Southampton
Second,Male,18,0,0,73.5,Southampton
Second,Female,18,0,1,23,Southampton
Second,Female,34,0,1,23,Southampton
Second,Male,54,0,0,26,Southampton
Second,Male,8,0,2,32.5,Southampton
Second,Male,42,1,1,32.5,Southampton
Second,Female,34,1,1,32.5,Southampton
Second,Female,27,1,0,13.8583,Cherbourg
Second,Female,30,1,0,13.8583,Cherbourg
Second,Male,23,0,0,13,Southampton
Second,Male,21,0,0,13,Southampton
Second,Male,18,0,0,13,Southampton
Second,Male,40,1,0,26,Southampton
Second,Female,29,1,0,26,Southampton
Second,Male,18,0,0,10.5,Southampton
Second,Male,36,0,0,13,Southampton
Second,Male,41,0,0,0,Southampton
Second,Female,38,0,0,13,Southampton
Second,Male,35,0,0,26,Southampton
Second,Male,38,1,0,21,Southampton
Second,Male,34,1,0,21,Southampton
Second,Female,34,0,0,13,Southampton
Second,Male,16,0,0,26,Southampton
Second,Male,26,0,0,10.5,Southampton
Second,Male,47,0,0,10.5,Southampton
Second,Male,21,1,0,11.5,Southampton
Second,Male,21,1,0,11.5,Southampton
Second,Male,24,0,0,13.5,Southampton
Second,Male,24,0,0,13,Southampton
Second,Male,34,0,0,13,Southampton
Second,Male,30,0,0,13,Southampton
Second,Male,52,0,0,13,Southampton
Second,Male,30,0,0,13,Southampton
Second,Male,0.6667,1,1,14.5,Southampton
Second,Female,24,0,2,14.5,Southampton
Second,Male,44,0,0,13,Southampton
Second,Female,6,0,1,33,Southampton
Second,Male,28,0,1,33,Southampton
Second,Male,62,0,0,10.5,Southampton
Second,Male,30,0,0,10.5,Southampton
Second,Female,7,0,2,26.25,Southampton
Second,Male,43,1,1,26.25,Southampton
Second,Female,45,1,1,26.25,Southampton
Second,Female,24,1,2,65,Southampton
Second,Female,24,1,2,65,Southampton
Second,Male,49,1,2,65,Southampton
Second,Female,48,1,2,65,Southampton
Second,Female,55,0,0,16,Southampton
Second,Male,24,2,0,73.5,Southampton
Second,Male,32,2,0,73.5,Southampton
Second,Male,21,2,0,73.5,Southampton
Second,Female,18,1,1,13,Southampton
Second,Female,20,2,1,23,Southampton
Second,Male,23,2,1,11.5,Southampton
Second,Male,36,0,0,13,Southampton
Second,Female,54,1,3,23,Southampton
Second,Male,50,0,0,13,Southampton
Second,Male,44,1,0,26,Southampton
Second,Female,29,1,0,26,Southampton
Second,Male,21,0,0,73.5,Southampton
Second,Male,42,0,0,13,Southampton
Second,Male,63,1,0,26,Southampton
Second,Female,60,1,0,26,Southampton
Second,Male,33,0,0,12.275,Southampton
Second,Female,17,0,0,10.5,Southampton
Second,Male,42,1,0,27,Southampton
Second,Female,24,2,1,27,Southampton
Second,Male,47,0,0,15,Southampton
Second,Male,24,2,0,31.5,Southampton
Second,Male,22,2,0,31.5,Southampton
Second,Male,32,0,0,10.5,Southampton
Second,Female,23,0,0,13.7917,Cherbourg
Second,Male,34,1,0,26,Southampton
Second,Female,24,1,0,26,Southampton
Second,Female,22,0,0,21,Southampton
Second,Female,30,0,0,12.35,Queenstown
Second,Male,35,0,0,12.35,Queenstown
Second,Female,45,0,0,13.5,Southampton
Second,Male,57,0,0,12.35,Queenstown
Second,Male,40,0,0,0,Southampton
Second,Male,31,0,0,10.5,Southampton
Second,Female,26,1,1,26,Southampton
Second,Male,30,1,1,26,Southampton
Second,Male,35,0,0,10.7083,Queenstown
Second,Female,1,1,2,41.5792,Cherbourg
Second,Female,3,1,2,41.5792,Cherbourg
Second,Male,25,1,2,41.5792,Cherbourg
Second,Female,22,1,2,41.5792,Cherbourg
Second,Female,17,0,0,12,Cherbourg
Second,Female,30,0,0,33,Southampton
Second,Female,34,0,0,10.5,Southampton
Second,Male,36,0,0,12.875,Cherbourg
Second,Male,24,0,0,10.5,Southampton
Second,Male,61,0,0,12.35,Queenstown
Second,Male,50,1,0,26,Southampton
Second,Female,42,1,0,26,Southampton
Second,Female,57,0,0,10.5,Southampton
Second,Male,30,0,0,15.0458,Cherbourg
Second,Male,1,0,2,37.0042,Cherbourg
Second,Male,31,1,1,37.0042,Cherbourg
Second,Female,24,1,1,37.0042,Cherbourg
Second,Male,30,0,0,15.5792,Cherbourg
Second,Male,30,0,0,13,Southampton
Second,Male,40,0,0,16,Southampton
Second,Male,32,0,0,13.5,Southampton
Second,Male,30,0,0,13,Southampton
Second,Male,46,0,0,26,Southampton
Second,Female,13,0,1,19.5,Southampton
Second,Female,41,0,1,19.5,Southampton
Second,Male,19,0,0,10.5,Southampton
Second,Male,39,0,0,13,Southampton
Second,Male,48,0,0,13,Southampton
Second,Male,70,0,0,10.5,Southampton
Second,Male,27,0,0,13,Southampton
Second,Male,54,0,0,14,Southampton
Second,Male,39,0,0,26,Southampton
Second,Male,16,0,0,10.5,Southampton
Second,Male,62,0,0,9.6875,Queenstown
Second,Male,32.5,1,0,30.0708,Cherbourg
Second,Female,14,1,0,30.0708,Cherbourg
Second,Male,2,1,1,26,Southampton
Second,Male,3,1,1,26,Southampton
Second,Male,36.5,0,2,26,Southampton
Second,Male,26,0,0,13,Southampton
Second,Male,19,1,1,36.75,Southampton
Second,Male,28,0,0,13.5,Southampton
Second,Male,20,0,0,13.8625,Cherbourg
Second,Female,29,0,0,10.5,Southampton
Second,Male,39,0,0,13,Southampton
Second,Male,22,0,0,10.5,Southampton
Second,Male,28,0,0,13.8625,Cherbourg
Second,Male,23,0,0,10.5,Southampton
Second,Male,29,0,0,13.8583,Cherbourg
Second,Male,28,0,0,10.5,Southampton
Second,Male,37,0,0,0,Southampton
Second,Female,50,0,1,26,Southampton
Second,Male,19,0,0,10.5,Southampton
Second,Male,30,0,0,15.05,Cherbourg
Second,Male,41,0,0,13,Southampton
Second,Female,21,0,1,21,Southampton
Second,Female,19,0,0,26,Southampton
Second,Male,43,0,1,21,Southampton
Second,Female,32,0,0,13,Southampton
Second,Male,34,0,0,13,Southampton
Second,Male,30,0,0,12.7375,Cherbourg
Second,Male,27,0,0,15.0333,Cherbourg
Second,Female,2,1,1,26,Southampton
Second,Female,8,1,1,26,Southampton
Second,Female,33,0,2,26,Southampton
Second,Male,36,0,0,10.5,Southampton
Second,Male,34,1,0,21,Southampton
Second,Female,30,3,0,21,Southampton
Second,Female,28,0,0,13,Southampton
Second,Male,23,0,0,15.0458,Cherbourg
Second,Male,0.8333,1,1,18.75,Southampton
Second,Male,3,1,1,18.75,Southampton
Second,Female,24,2,3,18.75,Southampton
Second,Female,50,0,0,10.5,Southampton
Second,Male,19,0,0,10.5,Southampton
Second,Female,21,0,0,10.5,Southampton
Second,Male,26,0,0,13,Southampton
Second,Male,25,0,0,13,Southampton
Second,Male,27,0,0,26,Southampton
Second,Female,25,0,1,26,Southampton
Second,Female,18,0,2,13,Southampton
Second,Female,20,0,0,36.75,Southampton
Second,Female,30,0,0,13,Southampton
Second,Male,59,0,0,13.5,Southampton
Second,Female,30,0,0,12.35,Queenstown
Second,Male,35,0,0,10.5,Southampton
Second,Female,40,0,0,13,Southampton
Second,Male,25,0,0,13,Southampton
Second,Male,41,0,0,15.0458,Cherbourg
Second,Male,25,0,0,10.5,Southampton
Second,Male,18.5,0,0,13,Southampton
Second,Male,14,0,0,65,Southampton
Second,Female,50,0,0,10.5,Southampton
Second,Male,23,0,0,13,Southampton
Second,Female,28,0,0,12.65,Southampton
Second,Female,27,0,0,10.5,Southampton
Second,Male,29,1,0,21,Southampton
Second,Female,27,1,0,21,Southampton
Second,Male,40,0,0,13,Southampton
Second,Female,31,0,0,21,Southampton
Second,Male,30,1,0,21,Southampton
Second,Male,23,1,0,10.5,Southampton
Second,Female,31,0,0,21,Southampton
Second,Male,39,0,0,0,Southampton
Second,Female,12,0,0,15.75,Southampton
Second,Female,40,0,0,15.75,Southampton
Second,Female,32.5,0,0,13,Southampton
Second,Male,27,1,0,26,Southampton
Second,Female,29,1,0,26,Southampton
Second,Male,2,1,1,23,Southampton
Second,Female,4,1,1,23,Southampton
Second,Female,29,0,2,23,Southampton
Second,Female,0.9167,1,2,27.75,Southampton
Second,Female,5,1,2,27.75,Southampton
Second,Male,36,1,2,27.75,Southampton
Second,Female,33,1,2,27.75,Southampton
Second,Male,66,0,0,10.5,Southampton
Second,Male,30,0,0,12.875,Southampton
Second,Male,31,0,0,13,Southampton
Second,Male,31,0,0,13,Southampton
Second,Female,26,0,0,13.5,Southampton
Second,Female,24,0,0,13,Southampton
Third,Male,42,0,0,7.55,Southampton
Third,Male,13,0,2,20.25,Southampton
Third,Male,16,1,1,20.25,Southampton
Third,Female,35,1,1,20.25,Southampton
Third,Female,16,0,0,7.65,Southampton
Third,Male,25,0,0,7.65,Southampton
Third,Male,20,0,0,7.925,Southampton
Third,Female,18,0,0,7.2292,Cherbourg
Third,Male,30,0,0,7.25,Southampton
Third,Male,26,0,0,8.05,Southampton
Third,Female,40,1,0,9.475,Southampton
Third,Male,0.8333,0,1,9.35,Southampton
Third,Female,18,0,1,9.35,Southampton
Third,Male,26,0,0,18.7875,Cherbourg
Third,Male,26,0,0,7.8875,Southampton
Third,Male,20,0,0,7.925,Southampton
Third,Male,24,0,0,7.05,Southampton
Third,Male,25,0,0,7.05,Southampton
Third,Male,35,0,0,8.05,Southampton
Third,Male,18,0,0,8.3,Southampton
Third,Male,32,0,0,22.525,Southampton
Third,Female,19,1,0,7.8542,Southampton
Third,Male,4,4,2,31.275,Southampton
Third,Female,6,4,2,31.275,Southampton
Third,Female,2,4,2,31.275,Southampton
Third,Female,17,4,2,7.925,Southampton
Third,Female,38,4,2,7.775,Southampton
Third,Female,9,4,2,31.275,Southampton
Third,Female,11,4,2,31.275,Southampton
Third,Male,39,1,5,31.275,Southampton
Third,Male,27,0,0,7.7958,Southampton
Third,Male,26,0,0,7.775,Southampton
Third,Female,39,1,5,31.275,Southampton
Third,Male,20,0,0,7.8542,Southampton
Third,Male,26,0,0,7.8958,Southampton
Third,Male,25,1,0,17.8,Southampton
Third,Female,18,1,0,17.8,Southampton
Third,Male,24,0,0,7.775,Southampton
Third,Male,35,0,0,7.05,Southampton
Third,Male,5,4,2,31.3875,Southampton
Third,Male,9,4,2,31.3875,Southampton
Third,Male,3,4,2,31.3875,Southampton
Third,Male,13,4,2,31.3875,Southampton
Third,Female,5,4,2,31.3875,Southampton
Third,Male,40,1,5,31.3875,Southampton
Third,Male,23,0,0,7.7958,Southampton
Third,Female,38,1,5,31.3875,Southampton
Third,Female,45,0,0,7.225,Cherbourg
Third,Male,21,0,0,7.225,Cherbourg
Third,Male,23,0,0,7.05,Southampton
Third,Female,17,0,0,14.4583,Cherbourg
Third,Male,30,0,0,7.225,Cherbourg
Third,Male,23,0,0,7.8542,Southampton
Third,Female,13,0,0,7.2292,Cherbourg
Third,Male,20,0,0,7.225,Cherbourg
Third,Male,32,1,0,15.85,Southampton
Third,Female,33,3,0,15.85,Southampton
Third,Female,0.75,2,1,19.2583,Cherbourg
Third,Female,0.75,2,1,19.2583,Cherbourg
Third,Female,5,2,1,19.2583,Cherbourg
Third,Female,24,0,3,19.2583,Cherbourg
Third,Female,18,0,0,8.05,Southampton
Third,Male,40,0,0,7.225,Cherbourg
Third,Male,26,0,0,7.8958,Southampton
Third,Male,20,0,0,7.2292,Cherbourg
Third,Female,18,0,1,14.4542,Cherbourg
Third,Female,45,0,1,14.4542,Cherbourg
Third,Female,27,0,0,7.8792,Queenstown
