PassengerClass,Sex,Survived,Age Group,Relative,Fare,No of Siblings or Spouses on Board,No of Parents or Children on Board,Port of Embarkation,Age,Passenger Fare
First,Male,No,Adult,None,Cheap,0,0,Cherbourg,30,27.75
First,Female,Yes,Youth,Many,Affordable,3,2,Southampton,24,263
First,Female,Yes,Youth,Many,Affordable,3,2,Southampton,28,263
First,Female,Yes,Youth,Many,Affordable,3,2,Southampton,23,263
First,Male,No,Youth,Many,Affordable,3,2,Southampton,19,263
First,Male,No,Adult,Many,Affordable,1,4,Southampton,64,263
First,Female,Yes,Adult,Many,Affordable,1,4,Southampton,60,263
First,Female,Yes,Adult,None,Cheap,0,0,Cherbourg,30,56.9292
First,Male,No,Adult,None,Cheap,0,0,Southampton,40,26.55
First,Male,Yes,Adult,Few,Cheap,2,0,Southampton,50,133.65
First,Male,Yes,Adult,Few,Cheap,1,0,Cherbourg,43,27.7208
First,Female,Yes,Adult,Few,Cheap,1,0,Southampton,45,133.65
First,Female,Yes,Youth,Few,Cheap,0,2,Cherbourg,22,49.5
First,Male,Yes,Adult,Few,Cheap,1,1,Cherbourg,60,79.2
First,Female,Yes,Adult,Few,Cheap,1,1,Cherbourg,48,79.2
First,Male,No,Adult,None,Cheap,0,0,Southampton,41,0
First,Male,No,Adult,Few,Cheap,1,0,Southampton,37,53.1
First,Female,Yes,Adult,Few,Cheap,1,0,Southampton,35,53.1
First,Male,No,Adult,None,Cheap,0,0,Southampton,47,38.5
First,Female,Yes,Adult,None,Affordable,0,0,Cherbourg,35,211.5
First,Female,Yes,Youth,Few,Cheap,0,1,Cherbourg,22,59.4
First,Female,Yes,Adult,Few,Cheap,0,1,Cherbourg,45,59.4
First,Male,No,Youth,None,Cheap,0,0,Cherbourg,24,79.2
First,Male,Yes,Adult,Few,Cheap,1,0,Cherbourg,49,89.1042
First,Female,Yes,Adult,Few,Cheap,1,0,Cherbourg,44,89.1042
First,Male,No,Senior,None,Cheap,0,0,Cherbourg,71,34.6542
First,Male,Yes,Adult,None,Cheap,0,0,Cherbourg,53,28.5
First,Female,Yes,Youth,None,Cheap,0,0,Southampton,19,30
First,Male,No,Adult,Few,Cheap,0,1,Southampton,38,153.4625
First,Female,Yes,Adult,Few,Cheap,0,1,Southampton,58,153.4625
First,Male,Yes,Youth,Few,Cheap,0,1,Cherbourg,23,63.3583
First,Female,Yes,Adult,Few,Cheap,0,1,Cherbourg,45,63.3583
First,Male,No,Adult,None,Cheap,0,0,Cherbourg,46,79.2
First,Male,Yes,Youth,Few,Cheap,1,0,Cherbourg,25,55.4417
First,Female,Yes,Youth,Few,Cheap,1,0,Cherbourg,25,55.4417
First,Male,Yes,Adult,Few,Cheap,1,0,Cherbourg,48,76.7292
First,Female,Yes,Adult,Few,Cheap,1,0,Cherbourg,49,76.7292
First,Male,No,Adult,None,Cheap,0,0,Southampton,40,42.4
First,Male,No,Adult,Few,Cheap,1,0,Southampton,45,83.475
First,Female,Yes,Adult,Few,Cheap,1,0,Southampton,35,83.475
First,Male,No,Adult,None,Cheap,0,0,Southampton,40,0
First,Male,Yes,Youth,None,Cheap,0,0,Cherbourg,27,76.7292
First,Male,Yes,Adult,None,Cheap,0,0,Southampton,40,30
First,Female,Yes,Youth,None,Cheap,0,0,Cherbourg,24,83.1583
First,Male,No,Adult,Few,Cheap,1,1,Southampton,55,93.5
First,Female,Yes,Adult,Few,Cheap,1,1,Southampton,52,93.5
First,Male,No,Adult,None,Cheap,0,0,Southampton,42,42.5
First,Male,No,Adult,None,Cheap,0,0,Southampton,39,51.8625
First,Male,No,Adult,None,Cheap,0,0,Southampton,55,50
First,Female,Yes,Teen,Few,Cheap,0,1,Cherbourg,16,57.9792
First,Female,Yes,Adult,Few,Cheap,0,1,Cherbourg,44,57.9792
First,Female,Yes,Adult,Few,Cheap,1,0,Southampton,51,77.9583
First,Male,No,Adult,Few,Cheap,1,0,Southampton,42,52
First,Female,Yes,Adult,Few,Cheap,1,0,Southampton,35,52
First,Male,Yes,Adult,None,Cheap,0,0,Cherbourg,35,26.55
First,Male,Yes,Adult,Few,Cheap,1,0,Southampton,38,90
First,Male,No,Adult,None,Cheap,0,0,Cherbourg,38,30.6958
First,Female,Yes,Adult,Few,Cheap,1,0,Southampton,35,90
First,Female,Yes,Adult,None,Cheap,0,0,Cherbourg,38,80
First,Female,No,Adult,None,Cheap,0,0,Cherbourg,50,28.7125
First,Male,Yes,Adult,None,Cheap,0,0,Southampton,49,0
First,Male,No,Adult,None,Cheap,0,0,Southampton,46,26
First,Male,No,Adult,None,Cheap,0,0,Southampton,50,26
First,Male,No,Adult,None,Affordable,0,0,Cherbourg,32.5,211.5
First,Male,No,Adult,None,Cheap,0,0,Cherbourg,58,29.7
First,Male,No,Adult,Few,Cheap,1,0,Southampton,41,51.8625
First,Female,Yes,Adult,Few,Cheap,1,0,Southampton,41,51.8625
First,Male,Yes,Adult,Few,Cheap,1,0,Southampton,42,52.5542
First,Female,Yes,Adult,Few,Cheap,1,0,Southampton,45,52.5542
First,Male,No,Adult,None,Cheap,0,0,Southampton,42,26.55
First,Female,Yes,Adult,None,Affordable,0,0,Southampton,39,211.3375
First,Female,Yes,Adult,None,Cheap,0,0,Southampton,49,25.9292
First,Female,Yes,Adult,None,Cheap,0,0,Cherbourg,30,106.425
First,Male,Yes,Adult,None,Expensive,0,0,Cherbourg,35,512.3292
First,Male,No,Adult,None,Cheap,0,0,Cherbourg,39,27.7208
First,Male,No,Adult,None,Cheap,0,0,Southampton,42,26.55
First,Female,Yes,Adult,None,Cheap,0,0,Cherbourg,55,27.7208
First,Female,Yes,Teen,Few,Cheap,0,1,Southampton,16,39.4
First,Female,Yes,Adult,Few,Cheap,0,1,Southampton,51,39.4
First,Male,No,Youth,None,Cheap,0,0,Southampton,29,30
First,Female,Yes,Youth,None,Cheap,0,0,Southampton,21,77.9583
First,Male,No,Adult,None,Cheap,0,0,Southampton,30,45.5
First,Female,Yes,Adult,None,Cheap,0,0,Cherbourg,58,146.5208
First,Female,Yes,Teen,Few,Affordable,0,1,Southampton,15,211.3375
First,Male,No,Adult,None,Cheap,0,0,Southampton,30,26
First,Female,Yes,Teen,None,Cheap,0,0,Southampton,16,86.5
First,Male,Yes,Adult,None,Cheap,0,0,Cherbourg,45,29.7
First,Male,No,Youth,Few,Cheap,1,0,Southampton,19,53.1
First,Female,Yes,Teen,Few,Cheap,1,0,Southampton,18,53.1
First,Female,Yes,Youth,None,Cheap,0,0,Cherbourg,24,49.5042
First,Male,No,Adult,None,Cheap,0,0,Cherbourg,46,75.2417
First,Male,No,Adult,None,Cheap,0,0,Southampton,54,51.8625
First,Male,Yes,Adult,None,Cheap,0,0,Southampton,36,26.2875
First,Male,No,Youth,Few,Cheap,1,0,Cherbourg,28,82.1708
First,Female,Yes,Adult,Few,Cheap,1,0,Cherbourg,38,82.1708
First,Male,No,Adult,None,Cheap,0,0,Southampton,65,26.55
First,Male,No,Adult,Few,Cheap,2,0,Queenstown,44,90
First,Female,Yes,Adult,Few,Cheap,1,0,Queenstown,33,90
First,Female,Yes,Adult,Few,Cheap,1,0,Queenstown,37,90
First,Male,Yes,Adult,Few,Cheap,1,0,Cherbourg,30,57.75
First,Male,No,Adult,None,Cheap,0,0,Southampton,55,30.5
First,Male,No,Adult,None,Cheap,0,0,Southampton,47,42.4
First,Male,No,Adult,Few,Cheap,0,1,Cherbourg,37,29.7
First,Female,Yes,Adult,Few,Cheap,1,0,Cherbourg,31,113.275
First,Female,Yes,Youth,Few,Cheap,1,0,Cherbourg,23,113.275
First,Male,No,Adult,Few,Cheap,0,2,Cherbourg,58,113.275
First,Female,Yes,Youth,Few,Cheap,0,2,Southampton,19,26.2833
First,Male,No,Adult,None,Cheap,0,0,Southampton,64,26
First,Female,Yes,Adult,None,Cheap,0,0,Cherbourg,39,108.9
First,Male,Yes,Adult,None,Cheap,0,0,Cherbourg,41,25.7417
First,Female,Yes,Youth,Few,Cheap,0,1,Cherbourg,22,61.9792
First,Male,No,Adult,Few,Cheap,0,1,Cherbourg,65,61.9792
First,Male,No,Youth,None,Cheap,0,0,Cherbourg,28.5,27.7208
First,Male,No,Adult,None,Cheap,0,0,Southampton,41,0
First,Male,No,Adult,None,Cheap,0,0,Southampton,45.5,28.5
First,Male,No,Youth,None,Cheap,0,0,Southampton,23,93.5
First,Male,No,Youth,Few,Cheap,1,0,Southampton,29,66.6
First,Female,Yes,Youth,Few,Cheap,1,0,Southampton,22,66.6
First,Male,No,Teen,Few,Cheap,1,0,Cherbourg,18,108.9
First,Female,Yes,Teen,Few,Cheap,1,0,Cherbourg,17,108.9
First,Female,Yes,Adult,None,Cheap,0,0,Southampton,30,93.5
First,Male,Yes,Adult,None,Cheap,0,0,Southampton,52,30.5
First,Male,No,Adult,None,Cheap,0,0,Southampton,47,52
First,Female,Yes,Adult,Few,Cheap,0,1,Cherbourg,56,83.1583
First,Male,No,Adult,None,Cheap,0,0,Southampton,38,0
First,Male,Yes,Adult,None,Cheap,0,0,Southampton,39,39.6
First,Male,No,Youth,None,Cheap,0,0,Cherbourg,22,135.6333
First,Male,No,Adult,None,Affordable,0,0,Cherbourg,39,227.525
First,Female,Yes,Adult,Few,Affordable,0,1,Southampton,43,211.3375
First,Male,No,Adult,None,Cheap,0,0,Southampton,31,50.4958
First,Male,Yes,Adult,None,Cheap,0,0,Southampton,45,26.55
First,Male,No,Adult,None,Cheap,0,0,Southampton,38,50
First,Female,Yes,Adult,None,Cheap,0,0,Cherbourg,33,27.7208
First,Male,No,Adult,None,Cheap,0,0,Cherbourg,46,79.2
First,Male,No,Adult,None,Cheap,0,0,Cherbourg,36,40.125
First,Female,Yes,Adult,None,Cheap,0,0,Southampton,33,86.5
First,Male,No,Adult,Few,Cheap,1,0,Cherbourg,55,59.4
First,Female,Yes,Adult,Few,Cheap,1,0,Cherbourg,54,59.4
First,Male,No,Adult,None,Cheap,0,0,Southampton,33,26.55
First,Male,Yes,Teen,Few,Affordable,2,2,Cherbourg,13,262.375
First,Female,Yes,Teen,Few,Affordable,2,2,Cherbourg,18,262.375
First,Female,Yes,Youth,Few,Affordable,2,2,Cherbourg,21,262.375
First,Male,No,Adult,Few,Affordable,1,3,Cherbourg,61,262.375
First,Female,Yes,Adult,Few,Affordable,1,3,Cherbourg,48,262.375
First,Male,Yes,Adult,None,Cheap,0,0,Southampton,44,30.5
First,Female,Yes,Youth,None,Cheap,0,0,Cherbourg,24,69.3
First,Male,Yes,Adult,None,Cheap,0,0,Southampton,40,26
First,Female,Yes,Adult,Few,Cheap,1,0,Cherbourg,35,57.75
First,Female,Yes,Adult,None,Cheap,0,0,Cherbourg,30,31
First,Male,Yes,Adult,None,Cheap,0,0,Southampton,34,26.55
First,Female,Yes,Adult,None,Cheap,0,0,Southampton,40,153.4625
First,Male,Yes,Adult,None,Cheap,0,0,Southampton,35,26.2875
First,Male,No,Adult,Few,Cheap,1,0,Southampton,50,55.9
First,Female,Yes,Adult,Few,Cheap,1,0,Southampton,39,55.9
First,Male,Yes,Adult,None,Cheap,0,0,Cherbourg,56,35.5
First,Male,Yes,Youth,None,Cheap,0,0,Southampton,28,35.5
First,Male,No,Adult,None,Cheap,0,0,Southampton,56,26.55
First,Male,No,Adult,None,Cheap,0,0,Cherbourg,56,30.6958
First,Male,No,Youth,Few,Cheap,1,0,Southampton,24,60
First,Male,No,Adult,None,Cheap,0,0,Southampton,40,26
First,Female,Yes,Teen,Few,Cheap,1,0,Southampton,18,60
First,Male,Yes,Youth,Few,Cheap,1,0,Southampton,24,82.2667
First,Female,Yes,Youth,Few,Cheap,1,0,Southampton,23,82.2667
First,Male,Yes,Child,Few,Cheap,0,2,Cherbourg,6,134.5
First,Male,Yes,Adult,Few,Cheap,1,1,Cherbourg,45,134.5
First,Female,Yes,Adult,Few,Cheap,1,1,Cherbourg,40,134.5
First,Male,No,Adult,Few,Cheap,1,0,Cherbourg,57,146.5208
First,Female,Yes,Adult,Few,Cheap,1,0,Cherbourg,40,146.5208
First,Male,Yes,Adult,None,Cheap,0,0,Cherbourg,32,30.5
First,Male,No,Adult,None,Cheap,0,0,Southampton,62,26.55
First,Male,Yes,Adult,Few,Cheap,1,0,Cherbourg,54,55.4417
First,Female,Yes,Adult,Few,Cheap,1,0,Cherbourg,43,55.4417
First,Female,Yes,Adult,Few,Cheap,1,0,Cherbourg,52,78.2667
First,Male,No,Adult,None,Cheap,0,0,Cherbourg,39,27.7208
First,Female,Yes,Adult,None,Cheap,0,0,Cherbourg,62,80
First,Male,No,Senior,Few,Affordable,1,0,Southampton,67,221.7792
First,Female,No,Adult,Few,Affordable,1,0,Southampton,63,221.7792
First,Male,No,Adult,None,Cheap,0,0,Southampton,61,32.3208
First,Female,Yes,Adult,None,Cheap,0,0,Southampton,48,25.9292
First,Female,Yes,Teen,Few,Cheap,0,2,Southampton,18,79.65
First,Male,No,Adult,Few,Cheap,1,1,Southampton,52,79.65
First,Female,Yes,Adult,Few,Cheap,1,1,Southampton,39,79.65
First,Male,Yes,Adult,Few,Cheap,1,0,Southampton,48,52
First,Female,Yes,Adult,Few,Cheap,1,0,Southampton,40,52
First,Male,No,Adult,Few,Cheap,1,1,Cherbourg,49,110.8833
First,Male,Yes,Teen,Few,Cheap,0,2,Cherbourg,17,110.8833
First,Female,Yes,Adult,Few,Cheap,1,1,Cherbourg,39,110.8833
First,Female,Yes,Adult,None,Cheap,0,0,Cherbourg,39,79.2
First,Male,Yes,Adult,None,Cheap,0,0,Cherbourg,31,28.5375
First,Male,No,Adult,None,Cheap,0,0,Cherbourg,40,27.7208
First,Male,No,Adult,None,Cheap,0,0,Southampton,61,33.5
First,Male,No,Adult,None,Cheap,0,0,Southampton,47,34.0208
First,Female,Yes,Adult,None,Expensive,0,0,Cherbourg,35,512.3292
First,Male,No,Adult,Few,Cheap,1,0,Cherbourg,64,75.25
First,Female,Yes,Adult,Few,Cheap,1,0,Cherbourg,60,75.25
First,Male,No,Adult,None,Cheap,0,0,Southampton,60,26.55
First,Male,No,Adult,Few,Cheap,0,1,Southampton,54,77.2875
First,Male,No,Youth,Few,Cheap,0,1,Southampton,21,77.2875
First,Female,Yes,Adult,None,Cheap,0,0,Cherbourg,55,135.6333
First,Female,Yes,Adult,Few,Cheap,0,2,Southampton,31,164.8667
First,Male,No,Adult,Few,Cheap,1,1,Southampton,57,164.8667
First,Female,Yes,Adult,Few,Cheap,1,1,Southampton,45,164.8667
First,Male,No,Adult,Few,Affordable,1,1,Cherbourg,50,211.5
First,Male,No,Youth,Few,Affordable,0,2,Cherbourg,27,211.5
First,Female,Yes,Adult,Few,Affordable,1,1,Cherbourg,50,211.5
First,Female,Yes,Youth,None,Cheap,0,0,Southampton,21,26.55
First,Male,No,Adult,Few,Cheap,0,1,Cherbourg,51,61.3792
First,Male,Yes,Youth,Few,Cheap,0,1,Cherbourg,21,61.3792
First,Male,No,Adult,None,Cheap,0,0,Southampton,40,35
First,Female,Yes,Adult,None,Cheap,0,0,Cherbourg,31,134.5
First,Male,Yes,Adult,None,Cheap,0,0,Southampton,40,35.5
First,Male,No,Adult,None,Cheap,0,0,Southampton,62,26.55
First,Female,Yes,Adult,None,Cheap,0,0,Cherbourg,36,135.6333
Second,Male,No,Adult,Few,Cheap,1,0,Cherbourg,30,24
Second,Female,Yes,Youth,Few,Cheap,1,0,Cherbourg,28,24
Second,Male,No,Adult,None,Cheap,0,0,Southampton,30,13
Second,Male,No,Teen,None,Cheap,0,0,Southampton,18,11.5
Second,Male,No,Youth,None,Cheap,0,0,Southampton,25,10.5
Second,Male,No,Adult,Few,Cheap,1,0,Southampton,34,26
Second,Female,Yes,Adult,Few,Cheap,1,0,Southampton,36,26
Second,Male,No,Adult,None,Cheap,0,0,Southampton,57,13
Second,Male,No,Teen,None,Cheap,0,0,Southampton,18,11.5
Second,Male,No,Youth,None,Cheap,0,0,Southampton,23,10.5
Second,Female,Yes,Adult,None,Cheap,0,0,Southampton,36,13
Second,Male,No,Youth,None,Cheap,0,0,Southampton,28,10.5
Second,Male,No,Adult,None,Cheap,0,0,Southampton,51,12.525
Second,Male,Yes,Adult,Few,Cheap,1,0,Southampton,32,26
Second,Female,Yes,Youth,Few,Cheap,1,0,Southampton,19,26
Second,Male,No,Youth,None,Cheap,0,0,Southampton,28,26
Second,Male,Yes,Baby,Few,Cheap,2,1,Southampton,1,39
Second,Female,Yes,Child,Few,Cheap,2,1,Southampton,4,39
Second,Female,Yes,Teen,Few,Cheap,2,1,Southampton,12,39
Second,Female,Yes,Adult,Few,Cheap,0,3,Southampton,36,39
Second,Male,Yes,Adult,None,Cheap,0,0,Southampton,34,13
Second,Female,Yes,Youth,None,Cheap,0,0,Southampton,19,13
Second,Male,No,Youth,None,Cheap,0,0,Southampton,23,13
Second,Male,No,Youth,None,Cheap,0,0,Southampton,26,13
Second,Male,No,Adult,None,Cheap,0,0,Southampton,42,13
Second,Male,No,Youth,None,Cheap,0,0,Southampton,27,13
Second,Female,Yes,Youth,None,Cheap,0,0,Southampton,24,13
Second,Female,Yes,Teen,Few,Cheap,0,2,Southampton,15,39
Second,Male,No,Adult,Few,Cheap,1,1,Southampton,60,39
Second,Female,Yes,Adult,Few,Cheap,1,1,Southampton,40,39
Second,Female,Yes,Youth,Few,Cheap,1,0,Southampton,20,26
Second,Male,No,Youth,Few,Cheap,1,0,Southampton,25,26
Second,Female,Yes,Adult,None,Cheap,0,0,Southampton,36,13
Second,Male,No,Youth,None,Cheap,0,0,Southampton,25,13
Second,Male,No,Adult,None,Cheap,0,0,Southampton,42,13
Second,Female,Yes,Adult,None,Cheap,0,0,Southampton,42,13
Second,Male,Yes,Baby,Few,Cheap,0,2,Southampton,0.8333,29
Second,Male,Yes,Youth,Few,Cheap,1,1,Southampton,26,29
Second,Female,Yes,Youth,Few,Cheap,1,1,Southampton,22,29
Second,Female,Yes,Adult,None,Cheap,0,0,Southampton,35,21
Second,Male,No,Adult,None,Cheap,0,0,Southampton,39,0
Second,Male,No,Youth,None,Cheap,0,0,Southampton,19,13
Second,Female,No,Adult,Few,Cheap,1,0,Southampton,44,26
Second,Male,No,Adult,Few,Cheap,1,0,Southampton,54,26
Second,Male,No,Adult,None,Cheap,0,0,Southampton,52,13.5
Second,Male,No,Adult,Few,Cheap,1,0,Southampton,37,26
Second,Female,No,Youth,Few,Cheap,1,0,Southampton,29,26
Second,Female,Yes,Youth,Few,Cheap,1,1,Southampton,25,30
Second,Female,Yes,Adult,Few,Cheap,0,2,Southampton,45,30
Second,Male,No,Youth,Few,Cheap,1,0,Southampton,29,26
Second,Female,Yes,Youth,Few,Cheap,1,0,Southampton,28,26
Second,Male,No,Youth,None,Cheap,0,0,Southampton,29,10.5
Second,Male,No,Youth,None,Cheap,0,0,Southampton,28,13
Second,Male,Yes,Youth,None,Cheap,0,0,Southampton,24,10.5
Second,Female,Yes,Child,Few,Cheap,0,2,Southampton,8,26.25
Second,Male,No,Adult,Few,Cheap,1,1,Southampton,31,26.25
Second,Female,Yes,Adult,Few,Cheap,1,1,Southampton,31,26.25
Second,Female,Yes,Youth,None,Cheap,0,0,Southampton,22,10.5
Second,Female,No,Adult,None,Cheap,0,0,Southampton,30,13
Second,Female,No,Adult,None,Cheap,0,0,Southampton,31,21
Second,Male,No,Youth,None,Cheap,0,0,Southampton,21,11.5
Second,Male,No,Adult,None,Cheap,0,0,Southampton,38,0
Second,Male,Yes,Child,Few,Cheap,1,1,Southampton,8,36.75
Second,Male,No,Teen,None,Cheap,0,0,Southampton,18,73.5
Second,Female,Yes,Adult,Few,Cheap,0,2,Southampton,48,36.75
Second,Female,Yes,Youth,None,Cheap,0,0,Southampton,28,13
Second,Male,No,Adult,None,Cheap,0,0,Southampton,32,13
Second,Male,No,Teen,None,Cheap,0,0,Southampton,17,73.5
